iX,iY,iZ,depth_mm,mean_dose_cGy,stddev_dose_cGy,err_dose_cGy,err_rel_percent,mean_internal_rms_cGy,stddev_internal_rms_cGy,err_internal_rms_cGy,mean_entries,stddev_entries,err_entries
0,0,44,277.5,0.2533452,0.00548794585736,0.00173544085849,0.685010356815,96.27984,1.81456389631,0.573815487224,4502.2,74.8655090442,23.6745526768
0,0,45,272.5,0.2583096,0.00395872070245,0.00125185740402,0.484634486686,96.316,1.3858570449,0.438246477326,4582.3,42.1638338969,13.3333749999
0,0,46,267.5,0.2674173,0.00876908855076,0.00277302928241,1.03696704828,98.06691,2.64151608969,0.835320731941,4762.1,78.1500693111,24.7132218323
0,0,47,262.5,0.2762229,0.00756754433163,0.00239306763822,0.866353817234,99.6497,2.42255189602,0.766078174137,4921.4,48.2290829733,15.2513751657
0,0,48,257.5,0.2842886,0.00622282326422,0.00196782949916,0.69219430507,101.44192,2.35194007378,0.743748755338,5046.4,83.6171168017,26.442054047
0,0,49,252.5,0.2873298,0.005448967054,0.00172311467859,0.59969925799,101.8784,1.70981460398,0.540690852521,5175.6,53.8045846869,17.014503617
0,0,50,247.5,0.2968325,0.00878446892406,0.0027778929835,0.9358452944,103.33208,2.6523770843,0.838755280003,5317.7,84.7454357997,26.7988598431
0,0,51,242.5,0.3035518,0.00806334876394,0.00254985476623,0.840006472119,104.31958,2.39049207106,0.755939967311,5476.8,74.5770295288,23.5833274441
0,0,52,237.5,0.3101694,0.00645745120341,0.00204202536822,0.65835809987,104.5625,1.58930370848,0.502581961254,5617,70.2772288077,22.2236110677
0,0,53,232.5,0.3233972,0.00719154631495,0.00227416662538,0.70321160028,108.149,2.409240452,0.761868725934,5793.9,62.4774626032,19.7571084254
0,0,54,227.5,0.3367588,0.00531474658746,0.0016806704403,0.499072463822,109.8422,1.54574238187,0.488806660256,6027.2,57.6016975059,18.2152561211
0,0,55,222.5,0.3406328,0.00786149567053,0.00248602321344,0.729824965019,110.185,2.30626928176,0.729306382805,6109.5,84.9852928453,26.8747093008
0,0,56,217.5,0.3529545,0.0107660538964,0.00340452517247,0.964579052675,112.1046,3.07937108298,0.973782638306,6361.2,58.7722534686,18.5854184182
0,0,57,212.5,0.3624858,0.0101871460053,0.00322145842334,0.888712998783,113.9343,2.38790484875,0.75512181578,6539.9,115.0260357,36.3744263032
0,0,58,207.5,0.3717372,0.00763152151423,0.00241329899976,0.649194915052,115.413,2.51512323533,0.795351801965,6694,79.1594733574,25.0324234189
0,0,59,202.5,0.3823554,0.00612077854888,0.0019355601268,0.506220162392,117.5451,1.71310390487,0.541731020793,6900.9,57.6338056661,18.2254096128
0,0,60,197.5,0.3944477,0.00967286679383,0.00305882905719,0.775471388777,118.5561,1.67835696441,0.530743073436,7097.2,92.1011521221,29.1249415832
0,0,61,192.5,0.4010556,0.0107636311428,0.00340375903051,0.848700038227,119.057,2.55112441441,0.806736374399,7310.7,43.3437167047,13.7064867044
0,0,62,187.5,0.4086925,0.00615107709177,0.00194514136733,0.47594251603,120.2381,2.33772460359,0.739253428955,7456,51.8823455308,16.4066382229
0,0,63,182.5,0.4251792,0.00864324334443,0.00273323353395,0.642842719952,123.5374,2.61372026047,0.826530918962,7696.7,105.582037614,33.3879718861
0,0,64,177.5,0.4390574,0.00819261240658,0.00259073151917,0.590066701797,125.5988,2.40742055598,0.761293224279,7919.6,74.8527443273,23.6705161189
0,0,65,172.5,0.4499619,0.00766147896152,0.00242277237639,0.538439449292,126.5239,2.17742740407,0.688563003653,8160,83.1371022936,26.2902601314
0,0,66,167.5,0.4703444,0.00713723926085,0.00225699322699,0.479859700038,130.3437,2.19716706744,0.694805233301,8403.4,73.2183947744,23.1536894108
0,0,67,162.5,0.483166,0.00682530302136,0.00215835032683,0.44670989408,132.1258,1.616726102,0.511253683497,8604.1,70.4863264912,22.289733561
0,0,68,157.5,0.4879299,0.00990712182052,0.00313290700096,0.642081372951,132.3447,3.03736859981,0.960500286888,8836.3,62.7376371177,19.8393828309
0,0,69,152.5,0.5089696,0.00739224664692,0.002337633643,0.459287478663,135.3103,1.59797212116,0.505323154031,9089.9,131.027096434,41.4344059931
0,0,70,147.5,0.5181222,0.00367114949603,0.00116091940384,0.224062856956,136.3343,0.905207164748,0.286251639491,9321.1,69.8608935274,22.0919542921
0,0,71,142.5,0.5361053,0.00893847513779,0.00282659402442,0.527246051181,139.8405,2.28593667891,0.722876649229,9549.3,83.7457129914,26.4827197328
0,0,72,137.5,0.5486457,0.00934840303712,0.00295622460825,0.538822159411,140.1824,2.70394457537,0.855062352502,9822.2,86.4301901987,27.3316259629
0,0,73,132.5,0.5634816,0.00784169379662,0.00247976131109,0.440078489004,142.4898,1.44135343803,0.45579597775,10051.2,98.2816813495,31.0793965335
0,0,74,127.5,0.5817432,0.0112823481185,0.00356779174093,0.61329324364,144.5571,2.12439755905,0.671793494229,10344,81.6333265278,25.8147244804
0,0,75,122.5,0.5991427,0.00834919924371,0.00264024862487,0.44067108301,146.9037,2.32323993356,0.734672974111,10622.9,70.2558024492,22.2168354582
0,0,76,117.5,0.6090881,0.0108251391005,0.00342320955456,0.562022071119,147.6554,2.34594805285,0.741853911944,10874.8,93.7713531238,29.6531055147
0,0,77,112.5,0.6256534,0.01455840924,0.00460377323073,0.735834446154,149.5056,3.02406239648,0.956292495933,11148.7,103.565384607,32.7502502111
0,0,78,107.5,0.6446534,0.00461008636217,0.00145783731145,0.226142809679,152.0471,1.61264327184,0.509962579237,11448,143.210024478,45.286986112
0,0,79,102.5,0.6677446,0.00761302505505,0.00240744990579,0.360534537575,155.0863,1.82544424121,0.577256154387,11740.8,111.268244447,35.18610837
0,0,80,97.5,0.6822799,0.0137122754855,0.00433620224377,0.635545945846,157.07,2.94826954896,0.932324693084,11913.8,91.3464710746,28.8862904814
0,0,81,92.5,0.6983242,0.0106742336264,0.00337548905362,0.483369909509,158.7964,1.94322264979,0.614500957417,12228.6,59.1630515327,18.7089996169
0,0,82,87.5,0.7186157,0.0106798291502,0.00337725851361,0.469967259777,161.2286,2.57877120609,0.815479057569,12522.9,86.8350287742,27.4596471613
0,0,83,82.5,0.7388805,0.0119424539564,0.00377653553538,0.511115875352,164.1569,2.51501404679,0.795317273518,12790.6,66.6436626978,21.0745765741
0,0,84,77.5,0.7618061,0.0142156686906,0.00449538915248,0.590096240038,166.4257,2.54484629748,0.804751059507,13091.8,112.903892266,35.703345626
0,0,85,72.5,0.7843516,0.0123571623693,0.00390767785036,0.498204867608,169.5986,3.09933079515,0.980094453498,13340.6,153.043348979,48.3965563513
0,0,86,67.5,0.7991419,0.0148852346785,0.00470712450901,0.589022363739,171.3699,3.1362444792,0.991767585341,13584.7,104.626372286,33.0857639745
0,0,87,62.5,0.8185171,0.0114522375732,0.00362151550367,0.442448362248,173.078,2.54200205437,0.803851630865,13825.7,115.058487542,36.3846884768
0,0,88,57.5,0.840051,0.0073528139738,0.00232516393687,0.276788425569,176.5416,2.4370176309,0.770652641164,14042.3,105.024917678,33.2117950935
0,0,89,52.5,0.8637957,0.00877140254907,0.00277376103293,0.321113086454,178.8886,1.55280679202,0.491040622895,14264.5,64.6464745107,20.4430102154
0,0,90,47.5,0.8883348,0.00637753276572,0.0020167529392,0.227026222456,182.6162,1.81864875358,0.575107232513,14494.1,69.0546482465,21.8369971481
0,0,91,42.5,0.9023714,0.0162988287255,0.00515414219655,0.571177477095,183.7351,2.677887619,0.846822419401,14602.1,149.904747534,47.4040434281
0,0,92,37.5,0.9200111,0.01177318714,0.00372300866818,0.404669972806,185.9009,1.67506553437,0.529702231867,14714.7,165.772300327,52.4218041997
0,0,93,32.5,0.9391762,0.0132065194658,0.00417626814752,0.444673549811,188.3329,2.41236354594,0.762856334953,14755,123.116024772,38.9327054744
0,0,94,27.5,0.9463125,0.0112651462904,0.00356235204527,0.376445629247,188.9804,2.75001216967,0.869630204934,14770.5,73.5289058806,23.2518816443
0,0,95,22.5,0.9804142,0.0104089754731,0.00329160706039,0.335736371463,193.6326,2.06090693089,0.651715994723,14834,77.6359023476,24.5506279621
0,0,96,17.5,0.9946732,0.00942047133522,0.00297901460516,0.299496820178,194.7212,1.73788171187,0.549566451345,14816.1,108.035436573,34.1638047582
0,0,97,12.5,0.9814481,0.0157149455929,0.00496950213793,0.506343854344,195.2823,5.50143365254,1.73970607383,14435,143.437171689,45.3588163671
0,0,98,7.5,0.9191393,0.0124389960568,0.00393355593452,0.427960803604,196.068,5.82501454457,1.84203133644,13613.8,118.883509743,37.5942667024
0,0,99,2.5,0.6108512,0.0119170948156,0.00376851627095,0.616928684261,161.494,11.3793553616,3.59846812469,10905.2,114.530733381,36.2177979575
